"
Isabelle Audet, Jean SiagLa PresseSuivre @jeansiag",2018-01-01 08:00EST,Société
"
Nathaëlle MorissetteLa PresseSuivre @nathaelle",2018-01-01 08:00EST,Voyage
"
Nathaëlle MorissetteLa PresseSuivre @nathaelle",2018-01-01 08:00EST,Voyage
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-01-01 05:00EST,Le clin d'oeil de Stéphane Laporte
"
Associated Press",2018-01-01 08:31EST,International
"
La Presse Canadienne",2018-01-01 08:39EST,Faits divers
"
Siavosh GHAZIAgence France-PresseTéhéran",2018-01-01 08:51EST,Moyen-Orient
"
Marissa GroguhéLa Presse",2018-01-01 08:56EST,National
"
Brian KNOWLTONAgence France-PresseWashington",2018-01-01 09:56EST,États-Unis
"
Associated Press",2018-01-01 10:20EST,Ski de fond
"
Agence France-PressePRISON MILITAIRE D'OFER",2018-01-01 10:33EST,Moyen-Orient
"
Agence France-Presse",2018-01-01 10:59EST,Europe
"
Sylvie LANTEAUMEAgence France-PresseWashington",2018-01-01 11:03EST,États-Unis
"
Agence France-Presse",2018-01-01 11:23EST,Climat
"
Associated Press",2018-01-01 11:47EST,Tennis
"
Associated Press",2018-01-01 11:51EST,NFL
"
Jean-François TremblayLa PresseSuivre @JFTremblay_LP",2018-01-01 11:54EST,Hockey
"
La Presse Canadienne",2018-01-01 12:06EST,National
"
La Presse Canadienne",2018-01-01 12:30EST,Canada
"
Agence France-Presse",2018-01-01 12:48EST,Moyen-Orient
"
Agence France-Presse",2018-01-01 13:14EST,États-Unis
"
La Presse Canadienne",2018-01-01 13:34EST,Hockey
"
Associated Press",2018-01-01 13:41EST,Tennis
"
Stephanie LevitzLa Presse CanadienneOttawa",2018-01-01 13:46EST,Politique canadienne
"
Agence France-Presse",2018-01-01 14:04EST,Europe
"
Agence France-Presse",2018-01-01 14:21EST,Europe
"
La Presse Canadienne",2018-01-01 14:41EST,Sports de combat
"
Associated Press",2018-01-01 15:48EST,Hockey
"
Marissa GroguhéLa Presse",2018-01-01 15:50EST,Justice et faits divers
"
La Presse Canadienne",2018-01-01 16:18EST,Hockey
"
Agence France-Presse",2018-01-01 16:33EST,National
"
Veronique DUPONTAssociated PressDESERT HOT SPRINGS",2018-01-01 17:52EST,États-Unis
"
Richard TherrienLe SoleilSuivre @zaptele",2018-01-01 18:19EST,Télévision
"
La Presse Canadienne",2018-01-01 19:41EST,National
"
La Presse Canadienne",2018-01-01 20:48EST,Faits divers
"
Associated Press",2018-01-01 21:12EST,États-Unis
"
Agence France-Presse",2018-01-01 21:36EST,États-Unis
"
La Presse Canadienne",2018-01-01 22:47EST,Basketball
"
Agence France-Presse",2018-01-01 22:49EST,Danse
"
Violaine BallivyLa PresseSuivre @vioballivy",2018-01-02 08:00EST,Recettes
"
Sophie FouronCollaboration spécialeLa Presse",2018-01-02 08:00EST,Voyage
"
Alain BrunetLa PresseSuivre @ABAlainBrunet",2018-01-02 08:01EST,Musique
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-01-02 05:00EST,Le clin d'oeil de Stéphane Laporte
"
La Presse",2018-01-02 05:00EST,Éditoriaux
"
Hugo DumasLa PresseSuivre @hugodumas",2018-01-02 05:00EST,Hugo Dumas
"
Jean-Thomas LéveilléLa PresseSuivre @JTLeveille_LP",2018-01-02 05:00EST,Éducation
"
La Presse Canadienne",2018-01-02 08:20EST,Faits divers
"
Nasir JAFFRYAgence France-PresseISLAMABAD",2018-01-02 08:27EST,Moyen-Orient
"
Siavosh GHAZIAgence France-PresseTéhéran",2018-01-02 08:34EST,Moyen-Orient
"
Morgan LowrieLa Presse Canadienne",2018-01-02 08:51EST,Faits divers
"
Agence France-PresseNew York",2018-01-02 09:08EST,Énergie et ressources
"
Associated Press",2018-01-02 09:10EST,Médias
"
Hwang SungheeLa Presse CanadienneSéoul",2018-01-02 09:34EST,La menace nord-coréenne
"
La Presse Canadienne",2018-01-02 09:42EST,Faits divers
"
Agence France-Presse",2018-01-02 09:45EST,Théâtre
"
Agence France-PresseBRISBANE",2018-01-02 09:50EST,Tennis
"
Associated Press",2018-01-02 09:54EST,Tennis
"
Associated Press",2018-01-02 09:57EST,Tennis
"
La Presse CanadienneToronto",2018-01-02 10:11EST,Marchés
"
Marie-Claude MalboeufLa PresseSuivre @mcmalboeuf",2018-01-02 10:16EST,Justice et faits divers
"
Suzanne ColpronLa Presse",2018-01-02 10:20EST,National
"
Karim BenessaiehLa PresseSuivre @karimbai",2018-01-02 10:29EST,Techno
"
Karim BenessaiehLa PresseSuivre @karimbai",2018-01-02 10:31EST,Économie
"
Silvia GalipeauLa PresseSuivre @lamereblogue",2018-01-02 10:44EST,En forme
"
Agence France-Presse",2018-01-02 11:01EST,Nouvelles
"
Jean-Louis DoubletAgence France-PresseWashington",2018-01-02 11:08EST,Nouvelles
"
La Presse Canadienne",2018-01-02 11:18EST,Hockey
"
Mylène CrêteLa Presse CanadienneOttawa",2018-01-02 11:28EST,Politique canadienne
"
Amal BELALLOUFIAgence France-PresseAlger",2018-01-02 11:38EST,Afrique
"
Frédéric MurphyLa Presse",2018-01-02 11:44EST,Musique
"
La Presse Canadienne",2018-01-02 12:00EST,Faits divers
"
Séverine ROUBYAgence France-PresseParis",2018-01-02 12:24EST,Europe
"
Associated Press",2018-01-02 13:16EST,États-Unis
"
La Presse Canadienne",2018-01-02 13:18EST,Énergie et ressources
"
Guillaume LefrançoisLa PresseSuivre @glefrancoislp",2018-01-02 13:07EST,Hockey
"
Agence France-Presse",2018-01-02 13:47EST,Canada
"
Agence France-PresseWashington",2018-01-02 13:52EST,États-Unis
"
Agence France-Presse",2018-01-02 14:11EST,Afrique
"
Patrice BergeronLa Presse CanadienneQuébec",2018-01-02 14:13EST,National
"
Jean-François TremblayLa PresseSuivre @JFTremblay_LP",2018-01-02 14:17EST,Hockey
"
Stéphanie MarinLa Presse Canadienne",2018-01-02 14:48EST,Actualités judiciaires
"
Agence France-PresseLima, Pérou",2018-01-02 14:52EST,Amérique latine
"
La Presse CanadienneBuffalo",2018-01-02 15:23EST,Hockey junior
"
La Presse CanadienneBuffalo",2018-01-02 15:23EST,Hockey junior
"
Agence France-PresseWashington",2018-01-02 15:40EST,États-Unis
"
La Presse Canadienne",2018-01-02 16:11EST,Actualités
"
Agence France-PresseWashington",2018-01-02 16:18EST,États-Unis
"
La Presse CanadienneQuébec",2018-01-02 16:26EST,Politique québécoise
"
Fanny LévesqueLa PresseSuivre @FannyLevesque",2018-01-02 16:34EST,Faits divers
"
Le Soleil",2018-01-02 16:44EST,Télévision
"
Jean-François TremblayLa PresseSuivre @JFTremblay_LP",2018-01-02 17:42EST,Hockey
"
Lee BerthiaumeLa Presse CanadienneOttawa",2018-01-02 17:50EST,Politique canadienne
"
La Presse CanadienneOttawa",2018-01-02 17:56EST,Justice et faits divers
"
Associated PressCincinnati",2018-01-02 18:04EST,Football
"
Karim LebhourAgence France-PresseWashington",2018-01-02 18:23EST,Moyen-Orient
"
Agence France-PresseLos Angeles",2018-01-02 18:50EST,Cinéma
"
Associated PressPhoenix",2018-01-02 18:58EST,Football
"
Tali ArbelAssociated PressNew York",2018-01-02 19:07EST,Médias
"
La Presse CanadienneBuffalo",2018-01-02 19:31EST,Hockey junior
"
Agence France-PresseNew York",2018-01-02 19:43EST,Musique
"
Agence France-PresseWashington",2018-01-02 20:07EST,États-Unis
"
Le Soleil",2018-01-02 21:10EST,Faits divers
"
Agence France-PresseLos Angeles",2018-01-02 21:41EST,Musique
"
Associated PressRaleigh, Caroline du Nord",2018-01-02 22:07EST,Hockey
"
Associated PressNew York",2018-01-02 22:10EST,Hockey
"
La Presse CanadienneToronto",2018-01-02 22:15EST,Hockey
"
Michel LamarcheLa Presse Canadienne",2018-01-02 22:30EST,Hockey
"
Mathias BrunetSuivre @mathiasbrunet",2018-01-02 11:36EST,Mathias Brunet
"
Richard HétuSuivre @richardhetu",2018-01-02 16:04EST,International
"
Richard HétuSuivre @richardhetu",2018-01-02 12:34EST,International
"
Richard HétuSuivre @richardhetu",2018-01-02 07:44EST,International
"
Stéphanie MorinLa Presse",2018-01-03 08:00EST,Voyage
"
Stéphane LaporteCollaboration spécialeLa PresseSuivre @laportestephane",2018-01-03 05:00EST,Le clin d'oeil de Stéphane Laporte
"
Hugo DumasLa PresseSuivre @hugodumas",2018-01-03 05:00EST,Hugo Dumas
"
Alexandre SiroisLa PresseSuivre @alexandresirois",2018-01-03 05:00EST,Alexandre Sirois
"
Marissa GroguhéLa Presse",2018-01-03 05:00EST,Santé
"
Stéphanie MarinLa Presse CanadienneSherbrooke",2018-01-03 06:22EST,Procès
"
Marc ThibodeauLa Presse",2018-01-03 06:35EST,États-Unis
"
La Presse CanadienneBrisbane, Australie",2018-01-03 06:55EST,Tennis
"
Siavosh GHAZIAgence France-PresseTÉHÉRAN",2018-01-03 07:05EST,Moyen-Orient
"
Agnès GrudaLa PresseSuivre @agruda",2018-01-03 07:15EST,Moyen-Orient
"
Nasser ABU BAKRAgence France-PresseRAMALLAH",2018-01-03 07:35EST,Moyen-Orient
"
David HodgesLa Presse CanadienneToronto",2018-01-03 07:39EST,Marchés
"
Marie TisonLa PresseSuivre @marietison",2018-01-03 08:04EST,Santé
"
Danielle BonneauLa Presse",2018-01-03 08:14EST,Décoration
"
AFP-PC",2018-01-03 08:25EST,Marchés
"
Sophie OuimetLa PresseSuivre @s_ouimet",2018-01-03 08:30EST,Maison
"
La Presse CanadienneMontréal",2018-01-03 08:48EST,Économie
"
Agence France-PresseLa Haye",2018-01-03 08:55EST,Techno
"
Lucie PEYTERMANNAgence France-PresseParis",2018-01-03 09:05EST,Europe
"
Marie-Claude MalboeufLa PresseSuivre @mcmalboeuf",2018-01-03 09:12EST,Sciences
"
Hwang SungheeAgence France-PresseSÉOUL",2018-01-03 09:42EST,La menace nord-coréenne
"
La Presse CanadienneMontréal",2018-01-03 09:55EST,Énergie et ressources
"
Associated Press",2018-01-03 10:11EST,Faits divers
"
André DubucLa Presse",2018-01-03 10:28EST,Économie
"
Agence France-PresseMADRID, Espagne",2018-01-03 10:33EST,Insolite
"
La Presse CanadienneOttawa",2018-01-03 10:36EST,Procès
"
Agence France-PresseGrenoble",2018-01-03 10:47EST,Voyage
"
Alexandre MARCHANDAgence France-PresseNew Delhi",2018-01-03 10:58EST,Livres
"
La Presse Canadienne",2018-01-03 11:05EST,Faits divers
"
Agence France-PressePékin",2018-01-03 11:10EST,Cinéma
"
Agence France-Presse",2018-01-03 11:17EST,Asie & Océanie
"
Sophie OuimetLa PresseSuivre @s_ouimet",2018-01-03 11:19EST,Maison
"
Agence France-Presse",2018-01-03 11:19EST,Asie & Océanie
"
Samuel OBIANG à Malabo, Amaury HAUCHARD à LibrevilleAgence France-Presse",2018-01-03 11:18EST,Afrique
"
Ivan CouronneAgence France-PresseWashington",2018-01-03 11:34EST,États-Unis
"
Agence France-PresseBAC NINH",2018-01-03 11:40EST,Asie & Océanie
"
Agence France-Presse",2018-01-03 11:44EST,Europe
"
Agence France-PresseBERLIN",2018-01-03 11:45EST,Europe
"
Michel SabaLa Presse Canadienne",2018-01-03 11:50EST,National
"
Agence France-PresseWashington",2018-01-03 11:56EST,États-Unis
"
Agence France-Presse",2018-01-03 12:29EST,Afrique
"
La Presse CanadienneOttawa",2018-01-03 12:28EST,Canada
"
La Presse CanadienneHamilton",2018-01-03 12:35EST,Football
"
Agence France-PresseRANGOUN",2018-01-03 12:51EST,Asie & Océanie
"
Jean-François TremblayLa PresseSuivre @JFTremblay_LP",2018-01-03 13:02EST,Hockey
"
Mélanie Marquis, Vicky Fragasso-MarquisLa Presse Canadienne",2018-01-03 13:04EST,Politique canadienne
"
Eric WillemsenAssociated PressZagreb, Croatie",2018-01-03 13:06EST,Ski alpin
"
Agence France-Presse",2018-01-03 13:12EST,Techno
"
Agence France-Presse",2018-01-03 13:16EST,Europe
"
Agence France-PresseKUALA LUMPUR",2018-01-03 13:38EST,Asie & Océanie
"
La Presse",2018-01-03 13:39EST,Football
"
Jerome CARTILLIERAgence France-PresseWashington",2018-01-03 13:52EST,États-Unis
"
Associated PressOberstdorf, Allemagne",2018-01-03 14:17EST,Ski de fond
"
Suzanne ColpronLa Presse",2018-01-03 14:31EST,Actualités
"
La Presse Canadienne",2018-01-03 14:50EST,National
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-01-03 15:30EST,Faits divers
"
Agence France-PresseWashington",2018-01-03 16:00EST,Astronomie et espace
"
Agence France-PresseMiami",2018-01-03 16:05EST,États-Unis
"
Howard FendrichAssociated Press",2018-01-03 16:11EST,Tennis
"
Associated PressNashville",2018-01-03 16:28EST,Hockey
"
La Presse CanadienneToronto",2018-01-03 16:38EST,Hockey
"
Véronique LauzonLa PresseSuivre @veroniquelauzon",2018-01-03 16:46EST,Musique
"
La Presse CanadienneToronto",2018-01-03 16:52EST,Théâtre
"
Associated PressLas Vegas",2018-01-03 16:55EST,Hockey
"
Michel LamarcheLa Presse Canadienne",2018-01-03 17:04EST,Hockey
"
Josh DubowAssociated PressAlameda, Californie",2018-01-03 17:17EST,Football
"
Agence France-PresseNew York",2018-01-03 17:37EST,États-Unis
"
Agence France-PresseNew York",2018-01-03 17:41EST,Moyen-Orient
"
Ugo GiguèreLa Presse Canadienne",2018-01-03 17:47EST,Régional
"
Agence France-PresseBerlin",2018-01-03 17:47EST,Europe
"
Agence France-PresseJérusalem",2018-01-03 18:15EST,Crise migratoire
"
Agence France-PresseWashington",2018-01-03 18:30EST,États-Unis
"
Peter RakobowchukLa Presse Canadienne",2018-01-03 18:48EST,Faits divers
"
Mylène CrêteLa Presse CanadienneOttawa",2018-01-03 19:05EST,Canada
"
John Chidley-HillLa Presse CanadienneBuffalo",2018-01-03 19:52EST,Hockey junior
"
Agence France-PresseBeyrouth",2018-01-03 19:55EST,Guerre civile en Syrie
"
Agence France-PresseWashington",2018-01-03 20:15EST,États-Unis
"
Associated PressNew York",2018-01-03 20:23EST,Hockey
"
Aleksandra SaganLa Presse Canadienne",2018-01-03 20:26EST,Santé
"
Agence France-PresseWashington",2018-01-03 21:05EST,États-Unis
